user_id,date,amount,plan_id,subscription_start,subscription_end,payment_type
16,25/01/23,9.99,1,25/01/23,25/02/23,new
17,17/01/23,9.99,1,17/01/23,17/02/23,new
17,17/02/23,9.99,1,17/02/23,17/03/23,renewal
17,17/03/23,9.99,1,17/03/23,17/04/23,renewal
17,17/04/23,9.99,1,17/04/23,17/05/23,renewal
17,17/05/23,9.99,1,17/05/23,17/06/23,renewal
17,17/06/23,9.99,1,17/06/23,17/07/23,renewal
17,17/07/23,9.99,1,17/07/23,17/08/23,renewal
17,17/08/23,9.99,1,17/08/23,17/09/23,renewal
18,26/01/23,9.99,1,26/01/23,26/02/23,new
18,26/02/23,9.99,1,26/02/23,26/03/23,renewal
18,26/03/23,9.99,1,26/03/23,26/04/23,renewal
18,26/04/23,9.99,1,26/04/23,26/05/23,renewal
19,15/01/23,9.99,1,15/01/23,15/02/23,new
19,15/02/23,9.99,1,15/02/23,15/03/23,renewal
19,15/03/23,9.99,1,15/03/23,15/04/23,renewal
20,01/01/23,9.99,1,01/01/23,01/02/23,new
21,12/01/23,9.99,1,12/01/23,12/02/23,new
21,12/02/23,9.99,1,12/02/23,12/03/23,renewal
21,12/03/23,9.99,1,12/03/23,12/04/23,renewal
21,12/04/23,9.99,1,12/04/23,12/05/23,renewal
21,12/05/23,9.99,1,12/05/23,12/06/23,renewal
21,12/06/23,9.99,1,12/06/23,12/07/23,renewal
21,12/07/23,9.99,1,12/07/23,12/08/23,renewal
21,12/08/23,9.99,1,12/08/23,12/09/23,renewal
22,27/01/23,9.99,1,27/01/23,27/02/23,new
22,27/02/23,9.99,1,27/02/23,27/03/23,renewal
22,27/02/23,20,3,27/02/23,27/03/23,upgrade
23,25/01/23,9.99,1,25/01/23,25/02/23,new
24,21/01/23,9.99,1,21/01/23,21/02/23,new
25,24/01/23,9.99,1,24/01/23,24/02/23,new
25,24/02/23,9.99,1,24/02/23,24/03/23,renewal
25,24/03/23,9.99,1,24/03/23,24/04/23,renewal
25,24/04/23,9.99,1,24/04/23,24/05/23,renewal
25,24/05/23,9.99,1,24/05/23,24/06/23,renewal
25,24/06/23,9.99,1,24/06/23,24/07/23,renewal
25,24/07/23,9.99,1,24/07/23,24/08/23,renewal
25,24/08/23,9.99,1,24/08/23,24/09/23,renewal
26,28/01/23,9.99,1,28/01/23,28/02/23,new
26,28/02/23,9.99,1,28/02/23,28/03/23,renewal
26,28/03/23,9.99,1,28/03/23,28/04/23,renewal
26,28/03/23,10,2,28/03/23,28/04/23,upgrade
26,28/04/23,19.99,2,28/04/23,28/05/23,renewal
26,28/05/23,19.99,2,28/05/23,28/06/23,renewal
26,28/06/23,19.99,2,28/06/23,28/07/23,renewal
26,28/06/23,10,3,28/06/23,28/07/23,upgrade
26,28/07/23,29.99,3,28/07/23,28/08/23,renewal
26,28/08/23,29.99,3,28/08/23,28/09/23,renewal
27,21/01/23,9.99,1,21/01/23,21/02/23,new
27,21/02/23,9.99,1,21/02/23,21/03/23,renewal
27,21/03/23,9.99,1,21/03/23,21/04/23,renewal
